"","sampleId","siteId","labSplit","fieldSplit","customerAbbreviation","siteLongitude","siteLatitude","sampleDate","sampleType","sampleMethod","sampleMethodId","habitatName","habitatId","area","mesh","COMID","yr","sampleProp","tot_dens","richness","tot_abund","insect_dens","noninsect_dens","elev_m","elev_band","band_code","ecoCode","ecoName","insect_richness","noninsect_richness"
"12",169805,10121,0.3125,1,"NAMC",-109.060633,40.540267,2019-07-29,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1370776,2019,0.3125,2585.94594594595,18,598,2412.97297297297,172.972972972973,1536,"1400-1800 m",2,"20","Colorado Plateaus",17,1
"13",115942,10092,1,1,"NAMC",-110.0142,39.4894,2001-10-14,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,3897831,2001,1,584.677419354839,14,435,584.677419354839,0,1348,"<1400 m",1,"20","Colorado Plateaus",14,0
"14",124773,21669,0.75,1,"USFS-R6-Fish",-112.473533,38.561483,2003-07-02,"Benthic","Surber net",26,"Targeted Riffle","10",0.279,250,3504425,2003,0.75,2537.63440860215,18,531,2365.59139784946,172.043010752688,2101,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",17,1
"15",123847,9158,0.5,1,"USU-Hawk",-110.979,40.593,2003-07-29,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,10375034,2003,0.5,860.215053763441,43,320,860.215053763441,0,2529,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",43,0
"16",141658,3266,1,1,"UDWQ",-113.7218333,37.31694444,2008-11-05,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,10023464,2008,1,637.837837837838,20,472,439.189189189189,198.648648648649,1231,"<1400 m",1,"13","Central Basin and Range",17,3
"17",156373,22492,0.375,1,"UDWR-SLC",-111.2051,40.25104017,2014-06-28,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,11964787,2014,0.375,2810.81081081081,27,780,2421.62162162162,389.189189189189,2336,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",19,8
"18",164341,26416,0.5,1,"BLM-AIM",-109.666733,39.904476,2017-06-21,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,3521443,2017,0.5,1209.67741935484,12,450,1206.98924731183,2.68817204301075,1509,"1400-1800 m",2,"20","Colorado Plateaus",11,1
"19",116399,8927,0.1875,1,"USU-Hawk",-111.561,41.288,2001-06-25,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,10274220,2001,0.1875,2451.61290322581,27,342,2451.61290322581,0,1802,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",27,0
"20",155375,13850,0.125,1,"USFS-R6-Fish",-112.5089392,38.3925725,2014-07-30,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1216075,2014,0.125,3794.59459459459,14,351,3740.54054054054,54.0540540540541,2305,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",13,1
"21",185435,33629,0.5,1,"UDWQ",-111.14098,38.08401,2021-05-26,"Benthic","Kick net",16,"Riffle","36",0.74,NA,4901139,2021,0.5,1681.08108108108,9,622,1645.94594594595,35.1351351351351,1800,"1800-2200 m",3,"20","Colorado Plateaus",6,3
"22",178434,5520,1,1,"BLM-AIM",-112.8082809,37.81183243,2021-09-11,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,14599463,2021,1,490.591397849462,10,365,487.903225806452,2.68817204301075,1969,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",9,1
"23",170215,12070,0.2031,1,"NAMC",-113.18759,37.3998,2019-08-04,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10023128,2019,0.2031,3533.07517266158,15,531,3453.23166593477,79.8435067268154,1564,"1400-1800 m",2,"20","Colorado Plateaus",14,1
"24",144321,10122,0.375,1,"NPS-NCPN",-109.132383,40.513,2010-07-29,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,1370812,2010,0.375,1765.76576576577,16,490,1729.72972972973,36.036036036036,1517,"1400-1800 m",2,"20","Colorado Plateaus",15,1
"25",141538,10122,0.9375,1,"NPS-NCPN",-109.132383,40.513,2009-07-24,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,1370812,2009,0.9375,595.315315315315,17,413,593.873873873874,1.44144144144144,1517,"1400-1800 m",2,"20","Colorado Plateaus",17,0
"26",124006,9178,0.75,1,"USU-Hawk",-110.188,40.924,2003-08-20,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,10038000,2003,0.75,1152.32974910394,18,643,1152.32974910394,0,2776,">2600 m",5,"19","Wasatch and Uinta Mountains",18,0
"27",169045,34089,0.25,1,"BLM-AIM",-109.619289,37.969263,2018-06-07,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,3381441,2018,0.25,3091.39784946237,24,575,2983.87096774194,107.52688172043,1787,"1400-1800 m",2,"20","Colorado Plateaus",23,1
"28",134955,10081,0.625,1,"NAMC",-109.9469,39.7384,2008-08-17,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,3897409,2008,0.625,1266.66666666667,16,589,1245.16129032258,21.505376344086,1410,"1400-1800 m",2,"20","Colorado Plateaus",15,1
"29",149902,23512,0.25,1,"USFS-R6-Fish",-112.4371,38.5815,2010-09-11,"Benthic","Surber net",26,"Targeted Riffle","10",0.093,NA,3504329,2010,0.25,21075.2688172043,20,490,20860.2150537634,215.05376344086,1973,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",19,1
"30",146270,3274,0.5625,1,"UDWQ",-112.95745,37.16562,2010-09-14,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,10026004,2010,0.5625,1412.61261261261,13,588,1398.1981981982,14.4144144144144,1215,"<1400 m",1,"20","Colorado Plateaus",12,1
"31",126803,3273,0.1876,1,"UDWQ",-113.0103,37.1628,2004-09-22,"Benthic","Hess net",13,"Targeted Riffle","10",0.3,300,10024162,2004,0.1876,8280.02842928216,14,466,8191.18692253021,88.8415067519545,1164,"<1400 m",1,"20","Colorado Plateaus",13,1
"32",119720,9570,0.4375,1,"BLM-UT-Rich",-111.0242,38.3186,2002-07-19,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,508,4901505,2002,0.4375,1152.07373271889,12,375,1152.07373271889,0,1410,"1400-1800 m",2,"20","Colorado Plateaus",12,0
"33",146981,8627,0.625,1,"NPS-NCPN-ZION",-112.9301517,37.17133417,2010-06-30,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10025990,2010,0.625,1833.51351351351,13,848,1811.89189189189,21.6216216216216,1236,"<1400 m",1,"20","Colorado Plateaus",11,2
"34",120163,3176,0.75,1,"UDWQ",-112.1656,39.5867,2002-10-08,"Benthic","Hess net",13,"Targeted Riffle","10",0.279,30,1197480,2002,0.75,2164.87455197133,15,453,2164.87455197133,0,1484,"1400-1800 m",2,"13","Central Basin and Range",15,0
"35",170210,13893,1,1,"NAMC",-112.94752,37.30975,2019-08-05,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10025798,2019,1,509.459459459459,8,377,498.648648648649,10.8108108108108,1542,"1400-1800 m",2,"20","Colorado Plateaus",7,1
"36",141898,8627,0.125,1,"NPS-NCPN-ZION",-112.9301517,37.17133417,2009-10-17,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10025990,2009,0.125,5405.40540540541,12,500,5329.72972972973,75.6756756756757,1236,"<1400 m",1,"20","Colorado Plateaus",11,1
"37",146950,10122,0.5,1,"NPS-NCPN",-109.132383,40.513,2011-08-04,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1370812,2011,0.5,1545.94594594595,14,572,1540.54054054054,5.40540540540541,1517,"1400-1800 m",2,"20","Colorado Plateaus",14,0
"38",173582,12247,0.75,1,"BLM-AIM",-109.2166214,38.82329178,2020-08-11,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,18369934,2020,0.75,844.086021505376,18,471,689.964157706093,154.121863799283,1268,"<1400 m",1,"20","Colorado Plateaus",17,1
"39",170209,26468,1,1,"NAMC",-112.948299,37.306554,2019-08-05,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10025820,2019,1,564.864864864865,16,418,554.054054054054,10.8108108108108,1422,"1400-1800 m",2,"20","Colorado Plateaus",15,1
"40",171618,13371,1,1,"BLM-AIM",-109.880228,37.149793,2019-08-13,"Benthic","Kick net",16,"Reachwide","8",3.3,NA,1385518,2019,1,193.333333333333,19,638,192.424242424242,0.909090909090909,1247,"<1400 m",1,"20","Colorado Plateaus",17,2
"41",169063,10449,0.0625,1,"BLM-AIM",-109.445739,40.013338,2018-08-07,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,5306378,2018,0.0625,10752.688172043,13,500,10709.6774193548,43.010752688172,1442,"1400-1800 m",2,"20","Colorado Plateaus",12,1
"42",146253,2991,1,1,"UDWQ",-110.97898,39.12278,2010-08-24,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,4878011,2010,1,674.324324324324,10,499,648.648648648649,25.6756756756757,1675,"1400-1800 m",2,"20","Colorado Plateaus",9,1
"43",149921,9421,0.375,1,"USFS-R6-Fish",-112.4513904,38.49841907,2012-08-14,"Benthic","Surber net",26,"Targeted Riffle","10",0.093,NA,3506903,2012,0.375,11268.8172043011,25,393,10265.2329749104,1003.58422939068,2200,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",21,4
"44",173510,10409,0.5313,1,"BLM-AIM",-111.3651123,37.76009369,2020-09-02,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,3277879,2020,0.5313,1323.08863024151,19,523,1262.37328200863,60.7153482328798,1565,"1400-1800 m",2,"20","Colorado Plateaus",18,1
"45",141881,8623,0.3125,1,"NPS-NCPN-ZION",-112.9657964,37.16172528,2009-06-16,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10026004,2009,0.3125,2629.18918918919,14,608,2434.59459459459,194.594594594595,1202,"<1400 m",1,"20","Colorado Plateaus",12,2
"46",171151,3024,0.1875,1,"UDWQ",-111.01041,39.81672,2019-10-07,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,3906449,2019,0.1875,4763.96396396396,17,661,4706.30630630631,57.6576576576577,2220,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",15,2
"47",141387,23028,0.5,1,"BLM-UT-Kana",-112.5045,37.8649,2009-06-03,"Benthic","Surber net",26,"Targeted Riffle","10",0.278709,500,10819142,2009,0.5,4513.66837812916,9,629,4456.26083118952,57.4075469396396,2140,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",8,1
"48",173517,12241,0.875,1,"BLM-AIM",-109.2258606,38.9077034,2020-07-04,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,2522508,2020,0.875,542.242703533026,16,353,336.405529953917,205.837173579109,1270,"<1400 m",1,"20","Colorado Plateaus",13,3
"49",128516,10079,0.75,1,"NAMC",-109.9447,39.7478,2006-08-08,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,3897409,2006,0.75,908.602150537634,21,507,908.602150537634,0,1409,"1400-1800 m",2,"20","Colorado Plateaus",21,0
"50",142804,3225,0.28125,1,"UDWQ",-112.12,38.195278,2007-10-10,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10805281,2007,0.28125,2532.13213213213,18,527,2306.30630630631,225.825825825826,1906,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",16,2
"51",170185,19998,0.5625,1,"NAMC",-113.08048,37.27286,2019-06-21,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10023742,2019,0.5625,1386.18618618619,10,577,1374.17417417417,12.012012012012,1354,"<1400 m",1,"20","Colorado Plateaus",9,1
"52",110531,13805,0.5,1,"USFS-R6-Fish",-112.0042,38.4831,1999-07-14,"Benthic","Surber net",26,"Targeted Riffle","10",0.116,250,10805115,1999,0.5,8137.93103448276,11,472,8137.93103448276,0,2720,">2600 m",5,"19","Wasatch and Uinta Mountains",11,0
"53",118409,10194,0.25,1,"NAMC",-110.0321,38.609,2002-05-17,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,250,4931342,2002,0.25,1892.47311827957,4,352,1892.47311827957,0,1204,"<1400 m",1,"20","Colorado Plateaus",4,0
"54",149843,2843,0.125,1,"UDWQ",-110.8550742,40.8286142,2012-07-10,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,7888168,2012,0.125,5318.91891891892,26,492,5145.94594594595,172.972972972973,2714,">2600 m",5,"19","Wasatch and Uinta Mountains",23,3
"55",146265,3268,0.2968,1,"UDWQ",-112.946389,37.282778,2010-09-15,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,10025834,2010,0.2968,1816.67516573177,14,399,1757.48524805129,59.1899176804837,1365,"<1400 m",1,"20","Colorado Plateaus",12,2
"56",146952,10141,1,1,"NPS-NCPN",-109.2013509,40.46670194,2011-08-04,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1374270,2011,1,540.540540540541,14,400,539.189189189189,1.35135135135135,1491,"1400-1800 m",2,"20","Colorado Plateaus",13,1
"57",127684,3612,0.0703,1,"UDWQ",-111.160139,39.727361,2005-09-24,"Benthic","Hess net",13,"Targeted Riffle","10",0.3,300,3906485,2005,0.0703,18776.6714082504,19,396,17543.8596491228,1232.81175912755,2345,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",16,3
"58",141645,3232,0.1328,1,"UDWQ",-112.335556,38.104167,2008-10-22,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,10815142,2008,0.1328,3195.21328557473,27,314,3073.10322370563,122.110061869098,1929,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",23,4
"59",169807,10141,0.1563,1,"NAMC",-109.2013509,40.46670194,2019-07-29,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1374270,2019,0.1563,4625.54685203438,19,535,4469.92097663883,155.625875395549,1491,"1400-1800 m",2,"20","Colorado Plateaus",17,2
"60",157949,347,0.0781,1,"USU-Budy",-112.348851,38.459734,2015-08-12,"Benthic","Surber net",26,"Targeted Riffle","10",0.837,NA,3507037,2015,0.0781,7052.19696587257,18,461,6746.24481984773,305.95214602484,2423,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",15,3
"61",124908,3617,0.5,1,"UDWQ",-111.185278,39.775278,2003-06-17,"Benthic","Hess net",13,"Targeted Riffle","10",0.3,300,3906455,2003,0.5,2880,21,432,2706.66666666667,173.333333333333,2332,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",18,3
"62",170187,26465,0.5,1,"NAMC",-112.95905,37.25077,2019-06-25,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10026472,2019,0.5,1708.10810810811,12,632,1686.48648648649,21.6216216216216,1310,"<1400 m",1,"20","Colorado Plateaus",10,2
"63",171646,11180,0.1563,1,"BLM-AIM",-112.337806,38.115053,2019-08-26,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,10815142,2019,0.1563,4807.06389009281,15,559,4746.86809898252,60.1957911102856,1916,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",14,1
"64",141873,8625,1,1,"NPS-NCPN-ZION",-112.9578572,37.16390278,2009-03-21,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10026004,2009,1,610.810810810811,10,452,583.783783783784,27.027027027027,1216,"<1400 m",1,"20","Colorado Plateaus",9,1
"65",119131,10084,1,1,"NAMC",-109.9842,39.6628,2002-07-09,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,3897431,2002,1,555.10752688172,16,413,555.10752688172,0,1403,"1400-1800 m",2,"20","Colorado Plateaus",16,0
"66",170229,26467,1,1,"NAMC",-112.9466667,37.29277778,2019-09-29,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10025820,2019,1,431.081081081081,17,319,385.135135135135,45.9459459459459,1466,"1400-1800 m",2,"20","Colorado Plateaus",15,2
"67",148975,9734,0.1875,1,"BLM-AIM",-109.4010833,40.55565001,2012-08-30,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1392905,2012,0.1875,3452.25225225225,17,479,3394.59459459459,57.6576576576577,1652,"1400-1800 m",2,"20","Colorado Plateaus",16,1
"68",141896,8626,0.5,1,"NPS-NCPN-ZION",-112.9237536,37.17396194,2009-10-17,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10025990,2009,0.5,1370.27027027027,15,507,1254.05405405405,116.216216216216,1243,"<1400 m",1,"20","Colorado Plateaus",11,4
"69",146980,8626,0.125,1,"NPS-NCPN-ZION",-112.9237536,37.17396194,2010-06-30,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10025990,2010,0.125,5870.27027027027,12,543,5772.97297297297,97.2972972972973,1243,"<1400 m",1,"20","Colorado Plateaus",11,1
"70",149266,10135,0.3125,1,"NAMC",-109.062321,40.539699,2012-08-08,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1370120,2012,0.3125,2179.45945945946,15,504,2166.48648648649,12.972972972973,1538,"1400-1800 m",2,"20","Colorado Plateaus",13,2
"71",168146,10093,1,1,"NAMC",-110.0209,39.4588,2017-09-09,"Benthic","Kick net",16,"Targeted Riffle","10",0.093,NA,3897835,2017,1,6698.9247311828,17,623,6698.9247311828,0,1343,"<1400 m",1,"20","Colorado Plateaus",17,0
"72",171640,5928,0.75,1,"BLM-AIM",-112.895772,37.731737,2019-08-29,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,14599589,2019,0.75,1068.10035842294,19,596,1032.25806451613,35.84229390681,2308,"2200-2600 m",4,"19","Wasatch and Uinta Mountains",17,2
"73",170179,12070,0.375,1,"NAMC",-113.18759,37.3998,2019-06-22,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10023128,2019,0.375,2079.27927927928,7,577,2043.24324324324,36.036036036036,1564,"1400-1800 m",2,"20","Colorado Plateaus",6,1
"74",171156,3291,0.5,1,"UDWQ",-109.04883,37.32419,2019-07-02,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,3261787,2019,0.5,1513.51351351351,17,560,1481.08108108108,32.4324324324324,1475,"1400-1800 m",2,"20","Colorado Plateaus",16,1
"75",149903,21668,0.25,1,"USFS-R6-Fish",-112.466667,38.567367,2010-09-11,"Benthic","Surber net",26,"Targeted Riffle","10",0.093,NA,3504405,2010,0.25,13763.4408602151,29,320,13333.3333333333,430.10752688172,2055,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",25,4
"76",138566,29979,0.0729,1,"USU-Hawk",-113.09247,37.26882,2004-09-22,"Benthic","Kick net",16,"Targeted Riffle","10",0.744,500,10023776,2004,0.0729,9771.81881204183,35,530,8518.07602106288,1253.74279097895,1285,"<1400 m",1,"20","Colorado Plateaus",31,4
"77",124363,3097,0.5,1,"R04F18A",-111.882,40.4507,2002-06-11,"Benthic","Kick net",16,"Targeted Riffle","10",0.093,280,10328107,2002,0.5,14279.5698924731,16,664,14107.5268817204,172.043010752688,1574,"1400-1800 m",2,"19","Wasatch and Uinta Mountains",15,1
"78",146979,8625,0.125,1,"NPS-NCPN-ZION",-112.9578572,37.16390278,2010-06-30,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10026004,2010,0.125,5297.2972972973,11,490,5264.86486486487,32.4324324324324,1216,"<1400 m",1,"20","Colorado Plateaus",10,1
"79",141888,8627,0.28125,1,"NPS-NCPN-ZION",-112.9301517,37.17133417,2009-06-17,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10025990,2009,0.28125,3079.87987987988,14,641,2878.07807807808,201.801801801802,1236,"<1400 m",1,"20","Colorado Plateaus",12,2
"80",170224,19997,0.125,1,"NAMC",-113.09445,37.26759,2019-09-28,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10023776,2019,0.125,3686.48648648649,17,341,3535.13513513514,151.351351351351,1289,"<1400 m",1,"20","Colorado Plateaus",14,3
"81",141869,8623,0.75,1,"NPS-NCPN-ZION",-112.9657964,37.16172528,2009-03-20,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10026004,2009,0.75,810.810810810811,16,450,713.513513513513,97.2972972972973,1202,"<1400 m",1,"20","Colorado Plateaus",15,1
"82",124362,3092,1,1,"R04F18A",-110.8342,40.4647,2002-06-10,"Benthic","Kick net",16,"Targeted Riffle","10",0.093,280,11979657,2002,1,5279.56989247312,14,491,5279.56989247312,0,2144,"1800-2200 m",3,"20","Colorado Plateaus",14,0
"83",148293,5518,0.1563,1,"BLM-AIM",-112.4287667,37.96413333,2011-07-31,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10816638,2011,0.1563,2680.22340959001,19,310,2576.47282599298,103.750583597033,1987,"1800-2200 m",3,"19","Wasatch and Uinta Mountains",17,2
"84",141877,8627,0.5,1,"NPS-NCPN-ZION",-112.9301517,37.17133417,2009-03-21,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10025990,2009,0.5,1516.21621621622,13,561,1454.05405405405,62.1621621621622,1236,"<1400 m",1,"20","Colorado Plateaus",11,2
"85",134961,10100,1,1,"NAMC",-110.049881,39.301911,2008-08-19,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,3897883,2008,1,586.021505376344,18,436,580.645161290323,5.37634408602151,1291,"<1400 m",1,"20","Colorado Plateaus",16,2
"86",168143,10082,1,1,"NAMC",-109.95103,39.73705,2017-09-07,"Benthic","Kick net",16,"Targeted Riffle","10",0.093,NA,3897409,2017,1,5892.47311827957,15,548,5849.4623655914,43.010752688172,1405,"1400-1800 m",2,"20","Colorado Plateaus",14,1
"87",169025,6851,1,1,"BLM-AIM",-109.203491,38.806996,2018-09-18,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,18369912,2018,1,1192.20430107527,23,887,1095.43010752688,96.7741935483871,1277,"<1400 m",1,"20","Colorado Plateaus",21,2
"88",170189,26467,1,1,"NAMC",-112.9466667,37.29277778,2019-06-20,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10025820,2019,1,466.216216216216,19,345,395.945945945946,70.2702702702703,1466,"1400-1800 m",2,"20","Colorado Plateaus",17,2
"89",143886,19997,0.75,1,"NPS-NCPN-ZION",-113.09445,37.26759,2010-10-15,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,500,10023776,2010,0.75,691.891891891892,12,384,675.675675675676,16.2162162162162,1289,"<1400 m",1,"20","Colorado Plateaus",11,1
"90",130505,10135,1,1,"NPS-NCPN",-109.062321,40.539699,2007-05-10,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,1370120,2007,1,622.311827956989,25,463,615.591397849462,6.72043010752688,1538,"1400-1800 m",2,"20","Colorado Plateaus",23,2
"91",170203,8623,0.25,1,"NAMC",-112.9657964,37.16172528,2019-08-05,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10026004,2019,0.25,2891.89189189189,19,535,2762.16216216216,129.72972972973,1202,"<1400 m",1,"20","Colorado Plateaus",16,3
"92",146953,10139,0.625,1,"NPS-NCPN",-109.258033,40.449517,2011-08-05,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,1374280,2011,0.625,1143.78378378378,13,529,1143.78378378378,0,1474,"1400-1800 m",2,"20","Colorado Plateaus",13,0
"93",128521,10089,1,1,"NAMC",-110.0297,39.5422,2006-08-10,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,3896855,2006,1,505.376344086022,16,376,505.376344086022,0,1364,"<1400 m",1,"20","Colorado Plateaus",16,0
"94",153928,3113,1,1,"UDWQ",-110.30216,40.34008,2014-07-23,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,11980985,2014,1,518.918918918919,31,384,490.540540540541,28.3783783783784,1876,"1800-2200 m",3,"20","Colorado Plateaus",25,6
"95",114017,23762,0.75,1,"USU-Hawk",-110.548,40.8629,2000-08-09,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,3199304,2000,0.75,591.397849462366,21,330,591.397849462366,0,2883,">2600 m",5,"19","Wasatch and Uinta Mountains",21,0
"96",146252,2988,0.1406,1,"UDWQ",-111.11712,39.40876,2010-07-28,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,4876383,2010,0.1406,5728.3456998962,19,596,5680.28910845412,48.0565914420822,2092,"1800-2200 m",3,"20","Colorado Plateaus",17,2
